,cell_type,sampleID,status
0,Fib_SCARA5,control_P1,control
1,damaged_CM,control_P1,control
2,Capillary_Endo,control_P1,control
3,LYVE_FOLR_Macrophages,control_P1,control
4,Fib_0,control_P1,control
5,healthy_CM,control_P1,control
6,Myofib,control_P1,control
7,LYVE_FOLR_Macrophages,control_P1,control
8,Endocardial_Endo,control_P1,control
9,Capillary_Endo,control_P1,control
10,Arterial_Endo,control_P1,control
11,healthy_CM,control_P1,control
12,Myofib,control_P1,control
13,Endocardial_Endo,control_P1,control
14,Myofib,control_P1,control
15,Neuronal,control_P1,control
16,Myofib,control_P1,control
17,healthy_CM,control_P1,control
18,healthy_CM,control_P1,control
19,Pericyte_1,control_P1,control
20,healthy_CM,control_P1,control
21,Endocardial_Endo,control_P1,control
22,Pericyte_1,control_P1,control
23,Fib_0,control_P1,control
24,LYVE_PLTP_Macrophages,control_P1,control
25,healthy_CM,control_P1,control
26,intermediate_CM,control_P1,control
27,Arterial_Endo,control_P1,control
28,vCM_3,control_P1,control
29,Capillary_Endo,control_P1,control
30,Endocardial_Endo,control_P1,control
31,Myofib,control_P1,control
32,Fib_0,control_P1,control
33,Pericyte_2,control_P1,control
34,Endocardial_Endo,control_P1,control
35,Neuronal,control_P1,control
36,Mast,control_P1,control
37,Fib_0,control_P1,control
38,healthy_CM,control_P1,control
39,damaged_CM,control_P1,control
40,Myofib,control_P1,control
41,intermediate_CM,control_P1,control
42,LYVE_FOLR_Macrophages,control_P1,control
43,Fib_SCARA5,control_P1,control
44,Monocytes,control_P1,control
45,healthy_CM,control_P1,control
46,Fib_3,control_P1,control
47,Capillary_Endo,control_P1,control
48,Myofib,control_P1,control
49,Pericyte_2,control_P1,control
50,healthy_CM,control_P1,control
51,healthy_CM,control_P1,control
52,Fib_0,control_P1,control
53,Fib_SCARA5,control_P1,control
54,damaged_CM,control_P1,control
55,Endocardial_Endo,control_P1,control
56,Capillary_Endo,control_P1,control
57,LYVE_PLTP_Macrophages,control_P1,control
58,Pericyte_2,control_P1,control
59,Myofib,control_P1,control
60,Fib_0,control_P1,control
61,vCM_3,control_P1,control
62,Fib_0,control_P1,control
63,Fib_0,control_P1,control
64,Fib_0,control_P1,control
65,intermediate_CM,control_P1,control
66,Pericyte_1,control_P1,control
67,Capillary_Endo,control_P1,control
68,intermediate_CM,control_P1,control
69,Endocardial_Endo,control_P1,control
70,Pericyte_2,control_P1,control
71,Myofib,control_P1,control
72,Monocytes,control_P1,control
73,Fib_3,control_P1,control
74,Myofib,control_P1,control
75,Arterial_Endo,control_P1,control
76,healthy_CM,control_P1,control
77,LYVE_PLTP_Macrophages,control_P1,control
78,Fib_0,control_P1,control
79,healthy_CM,control_P1,control
80,intermediate_CM,control_P1,control
81,Fib_0,control_P1,control
82,healthy_CM,control_P1,control
83,Fib_0,control_P1,control
84,LYVE_FOLR_Macrophages,control_P1,control
85,healthy_CM,control_P1,control
86,Fib_SCARA5,control_P1,control
87,Myofib,control_P1,control
88,Fib_0,control_P1,control
89,intermediate_CM,control_P1,control
90,Capillary_Endo,control_P1,control
91,SPP1_Macrophages,control_P1,control
92,Venous_Endo,control_P1,control
93,healthy_CM,control_P1,control
94,Endocardial_Endo,control_P1,control
95,Myofib,control_P1,control
96,Arterial_Endo,control_P1,control
97,intermediate_CM,control_P1,control
98,Myofib,control_P1,control
99,SPP1_Macrophages,control_P1,control
100,Pericyte_1,control_P1,control
101,Fib_0,control_P1,control
102,damaged_CM,control_P1,control
103,LYVE_FOLR_Macrophages,control_P1,control
104,healthy_CM,control_P1,control
105,LYVE_FOLR_Macrophages,control_P1,control
106,Fib_0,control_P1,control
107,Fib_0,control_P1,control
108,intermediate_CM,control_P1,control
109,Monocytes,control_P1,control
110,LYVE_FOLR_Macrophages,control_P1,control
111,healthy_CM,control_P1,control
112,Arterial_Endo,control_P1,control
113,Monocytes,control_P1,control
114,damaged_CM,control_P1,control
115,Fib_0,control_P1,control
116,Myofib,control_P1,control
117,vCM_3,control_P1,control
118,healthy_CM,control_P1,control
119,intermediate_CM,control_P1,control
120,intermediate_CM,control_P1,control
121,LYVE_FOLR_Macrophages,control_P1,control
122,Monocytes,control_P1,control
123,damaged_CM,control_P1,control
124,Fib_0,control_P1,control
125,Endocardial_Endo,control_P1,control
126,healthy_CM,control_P1,control
127,Pericyte_1,control_P1,control
128,Capillary_Endo,control_P1,control
129,intermediate_CM,control_P1,control
130,LYVE_PLTP_Macrophages,control_P1,control
131,Fib_SCARA5,control_P1,control
132,Capillary_Endo,control_P1,control
133,LYVE_FOLR_Macrophages,control_P1,control
134,Pericyte_1,control_P1,control
135,Arterial_Endo,control_P1,control
136,healthy_CM,control_P1,control
137,Arterial_Endo,control_P1,control
138,Fib_SCARA5,control_P1,control
139,vCM_4,control_P1,control
140,Fib_0,control_P1,control
141,Arterial_Endo,control_P1,control
142,Fib_0,control_P1,control
143,damaged_CM,control_P1,control
144,Endocardial_Endo,control_P1,control
145,damaged_CM,control_P1,control
146,Endocardial_Endo,control_P1,control
147,Endocardial_Endo,control_P1,control
148,Myofib,control_P1,control
149,Endocardial_Endo,control_P1,control
150,prolif,control_P1,control
151,healthy_CM,control_P1,control
152,Fib_0,control_P1,control
153,healthy_CM,control_P1,control
154,healthy_CM,control_P1,control
155,healthy_CM,control_P1,control
156,Capillary_Endo,control_P1,control
157,Myofib,control_P1,control
158,Myofib,control_P1,control
159,Fib_SCARA5,control_P1,control
160,damaged_CM,control_P1,control
161,LYVE_FOLR_Macrophages,control_P1,control
162,Fib_0,control_P1,control
163,LYVE_FOLR_Macrophages,control_P1,control
164,Fib_0,control_P1,control
165,Myofib,control_P1,control
166,Pericyte_2,control_P1,control
167,healthy_CM,control_P1,control
168,Myofib,control_P1,control
169,LYVE_FOLR_Macrophages,control_P1,control
170,healthy_CM,control_P1,control
